date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:22%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/wp-admin/admin-ajax.php	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/wp-admin/admin-ajax.php	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:22%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/comments/feed/	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/comments/feed/index.html	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:22%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/wp-content/themes/jupiter/assets/images	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/wp-content/themes/jupiter/assets/images	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:23%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/wp-content/themes/jupiter/assets/js	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/wp-content/themes/jupiter/assets/js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:31	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:23%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/wp-content/themes/jupiter	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/wp-content/themes/jupiter	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:31	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:23%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider369f.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:31	21695/21695	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:24%20GMT	https://web.archive.org/web/20180831024545cs_/http://icraect.org/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831024545cs_/http_/icraect.org/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider369f.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:24%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/plugins/revslider/public/assets/css/settings9d07.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:32	40282/40282	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:24%20GMT	https://web.archive.org/web/20180831040815cs_/http://icraect.org/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831040815cs_/http_/icraect.org/wp-content/plugins/revslider/public/assets/css/settings9d07.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:25%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/themes/jupiter/assets/stylesheet/min/full-styles.6.0.2.css?ver=1515249980	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/themes/jupiter/assets/stylesheet/min/full-styles.6.0.2d97a.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:33	540563/540563	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:25%20GMT	https://web.archive.org/web/20180831033253cs_/http://icraect.org/wp-content/themes/jupiter/assets/stylesheet/min/full-styles.6.0.2.css?ver=1515249980	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831033253cs_/http_/icraect.org/wp-content/themes/jupiter/assets/stylesheet/min/full-styles.6.0.2d97a.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:33	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:25%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-grid.css?ver=6.0.2	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-grid5b21.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:34	13783/13783	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:26%20GMT	https://web.archive.org/web/20180831021722cs_/http://icraect.org/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-grid.css?ver=6.0.2	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831021722cs_/http_/icraect.org/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-grid5b21.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:26%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-render.css?ver=6.0.2	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-render5b21.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:35	6199/6199	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:27%20GMT	https://web.archive.org/web/20180831003659cs_/http://icraect.org/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-render.css?ver=6.0.2	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831003659cs_/http_/icraect.org/wp-content/themes/jupiter/header-builder/includes/assets/css/mkhb-render5b21.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:35	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:27%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/plugins/js_composer_theme/assets/css/js_composer.min.css?ver=5.4.5	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/plugins/js_composer_theme/assets/css/js_composer.min5243.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:36	469593/469593	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:27%20GMT	https://web.archive.org/web/20180831003411cs_/http://icraect.org/wp-content/plugins/js_composer_theme/assets/css/js_composer.min.css?ver=5.4.5	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831003411cs_/http_/icraect.org/wp-content/plugins/js_composer_theme/assets/css/js_composer.min5243.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:36	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:28%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/uploads/mk_assets/theme-options-production-1515949383.css?ver=1515949379	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/uploads/mk_assets/theme-options-production-1515949383d409.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:36	46496/46496	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:28%20GMT	https://web.archive.org/web/20180831004120cs_/http://icraect.org/wp-content/uploads/mk_assets/theme-options-production-1515949383.css?ver=1515949379	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831004120cs_/http_/icraect.org/wp-content/uploads/mk_assets/theme-options-production-1515949383d409.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:37	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:29%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/plugins/masterslider/public/assets/css/masterslider.main.css?ver=3.2.2	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/plugins/masterslider/public/assets/css/masterslider.mainee9a.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:37	85571/85571	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:29%20GMT	https://web.archive.org/web/20180830232745cs_/http://icraect.org/wp-content/plugins/masterslider/public/assets/css/masterslider.main.css?ver=3.2.2	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180830232745cs_/http_/icraect.org/wp-content/plugins/masterslider/public/assets/css/masterslider.mainee9a.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:38	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:30%20GMT	https://web.archive.org/web/20180722135401cs_/http://icraect.org/wp-content/uploads/masterslider/custom.css?ver=1.1	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401cs_/http_/icraect.org/wp-content/uploads/masterslider/custom4963.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:38	867/867	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2013:39:30%20GMT	https://web.archive.org/web/20180831034220cs_/http://icraect.org/wp-content/uploads/masterslider/custom.css?ver=1.1	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831034220cs_/http_/icraect.org/wp-content/uploads/masterslider/custom4963.css	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:38	52840/52840	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Wed,%2014%20Aug%202019%2013:39:30%20GMT	https://web.archive.org/web/20180722135401js_/http://icraect.org/wp-content/themes/jupiter/assets/js/plugins/wp-enqueue/min/webfontloader.js?ver=4.9.7	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401js_/http_/icraect.org/wp-content/themes/jupiter/assets/js/plugins/wp-enqueue/min/webfontloader37cb.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:31%20GMT	https://web.archive.org/web/20180722135401js_/http://icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401js_/http_/icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/greensockb3a6.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:39	118159/118159	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Aug%202019%2013:39:31%20GMT	https://web.archive.org/web/20180831023249js_/http://icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831023249js_/http_/icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/greensockb3a6.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:31%20GMT	https://web.archive.org/web/20180722135401js_/http://icraect.org/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401js_/http_/icraect.org/wp-includes/js/jquery/jqueryb8ff.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:40	97788/97788	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Aug%202019%2013:39:32%20GMT	https://web.archive.org/web/20180831014458js_/http://icraect.org/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831014458js_/http_/icraect.org/wp-includes/js/jquery/jqueryb8ff.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:40	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:32%20GMT	https://web.archive.org/web/20180722135401js_/http://icraect.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401js_/http_/icraect.org/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:41	10658/10658	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Aug%202019%2013:39:32%20GMT	https://web.archive.org/web/20180831033003js_/http://icraect.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831033003js_/http_/icraect.org/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:41	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:33%20GMT	https://web.archive.org/web/20180722135401js_/http://icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401js_/http_/icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery369f.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:41	117017/117017	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Aug%202019%2013:39:33%20GMT	https://web.archive.org/web/20180831005233js_/http://icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831005233js_/http_/icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery369f.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:42	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:34%20GMT	https://web.archive.org/web/20180722135401js_/http://icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401js_/http_/icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions369f.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:42	24430/24430	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Aug%202019%2013:39:34%20GMT	https://web.archive.org/web/20180831025955js_/http://icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831025955js_/http_/icraect.org/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions369f.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:35%20GMT	https://web.archive.org/web/20180722135401js_/http://icraect.org/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401js_/http_/icraect.org/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min9d07.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:43	111021/111021	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Aug%202019%2013:39:35%20GMT	https://web.archive.org/web/20180831003434js_/http://icraect.org/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831003434js_/http_/icraect.org/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min9d07.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:35%20GMT	https://web.archive.org/web/20180722135401js_/http://icraect.org/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401js_/http_/icraect.org/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min9d07.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:44	65499/65499	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Aug%202019%2013:39:36%20GMT	https://web.archive.org/web/20180831024203js_/http://icraect.org/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.6.4	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831024203js_/http_/icraect.org/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min9d07.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:36%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Ficraect.org%2F	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/wp-json/oembed/1.0/embed3be0	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:37%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Ficraect.org%2F&format=xml	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/wp-json/oembed/1.0/embedc927	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:37%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/wp-content/plugins/masterslider/public/assets/css/common/grabbing.cur	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/wp-content/plugins/masterslider/public/assets/css/common/grabbing.cur	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:37%20GMT	https://web.archive.org/web/20180722135401/http://icraect.org/wp-content/plugins/masterslider/public/assets/css/common/grab.cur	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401/http_/icraect.org/wp-content/plugins/masterslider/public/assets/css/common/grab.cur	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:38%20GMT	https://web.archive.org/web/20180722135401im_/http://icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-32x32.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401im_/http_/icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-32x32.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:46	2204/2204	---MC-	200	added ('OK')	image/png	date:Wed,%2014%20Aug%202019%2013:39:38%20GMT	https://web.archive.org/web/20180831031753im_/http://icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-32x32.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831031753im_/http_/icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-32x32.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:38%20GMT	https://web.archive.org/web/20180722135401im_/http://icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-192x192.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401im_/http_/icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-192x192.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:47	20853/20853	---MC-	200	added ('OK')	image/png	date:Wed,%2014%20Aug%202019%2013:39:39%20GMT	https://web.archive.org/web/20180831015205im_/http://icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-192x192.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831015205im_/http_/icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-192x192.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:47	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2014%20Aug%202019%2013:39:39%20GMT	https://web.archive.org/web/20180722135401im_/http://icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-180x180.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180722135401im_/http_/icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-180x180.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:48	25657/25657	---MC-	200	added ('OK')	image/png	date:Wed,%2014%20Aug%202019%2013:39:40%20GMT	https://web.archive.org/web/20180831013527im_/http://icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-180x180.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/web/20180831013527im_/http_/icraect.org/wp-content/uploads/2018/01/cropped-ICRAECT-1-180x180.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:48	1793/1793	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1565766477-1793-545916128%22	https://web.archive.org/_static/js/timestamp.js	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/js/timestamp.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:49	3934/3934	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1565766528-3934-581895390%22	https://web.archive.org/_static/js/graph-calc.js	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/js/graph-calc.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:49	10654/10654	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1565766528-10654-905512523%22	https://web.archive.org/_static/js/auto-complete.js	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/js/auto-complete.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:49	21054/21054	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1565766610-21054-380568575%22	https://web.archive.org/_static/js/toolbar.js	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/js/toolbar.js	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:49	7564/7564	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1565766603-7564-1983580500%22	https://web.archive.org/_static/images/toolbar/wayback-toolbar-logo.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/images/toolbar/wayback-toolbar-logo.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
19:12:50	292/292	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1565766477-292-945555072%22	https://web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	C:/Users/Windows/Desktop/Papers/icraect/web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	(from https://web.archive.org/web/20180722135401/http://icraect.org/)
